,Dim1,Dim2,tokens,article,competitor
2038,-35.26090622,17.86392593,affected,4,0
8738,14.75598717,6.032698631,affected,19,0
11363,7.407313347,13.35303307,affected,28,1
12870,4.202792645,-33.75786209,affected,32,1
13373,10.18013477,-15.45573139,affected,34,1
17008,10.17747116,-15.46619129,affected,46,1
27408,9.264421463,-16.2191124,affected,72,3
30308,-34.67133713,-15.72342968,affected,79,3
35706,13.41260242,2.718865395,affected,100,4
7058,45.75264359,-24.37489891,affecting,14,0
12853,8.523713112,-9.71391201,affecting,32,1
17558,31.44387817,-27.98541641,affecting,48,1
18166,8.597127914,-9.718846321,affecting,49,1
18899,45.53370667,-30.79316902,affecting,51,2
19588,45.88340378,-24.36267281,affecting,53,2
2031,-36.58510208,-1.692074776,affects,4,0
2995,16.48824883,-60.37181091,affects,6,0
8699,33.63190842,-41.152771,affects,19,0
19529,-42.54387283,-16.67115402,affects,53,2
28320,11.75388622,-55.44721222,affects,74,3
30636,11.94686317,-56.10968781,affects,80,3
32084,-10.5199728,-5.311644554,affordable,82,3
648,-54.90866852,1.804927349,aged,1,0
4715,6.318946362,-4.182351589,aged,9,0
6135,6.311392307,-3.610677481,aged,12,0
7026,17.26755142,6.857423306,aged,14,0
7710,6.511238098,-5.06542778,aged,16,0
18350,7.984417915,-3.740253925,aged,50,2
30790,17.25421524,6.835922718,aged,80,3
8137,-28.27004051,29.9364357,agents,16,0
24858,-28.15044022,30.09140396,agents,66,3
14085,-31.08502769,20.43564415,ages,37,1
24218,-39.04524994,-17.04636192,ages,64,3
26123,-35.16260147,-6.478348732,ages,69,3
32318,-40.36664963,-10.35465145,ages,83,4
36263,-14.37806129,-28.8944149,ages,102,4
36608,-14.37811565,-28.89438438,ages,103,4
33102,-27.72821999,-11.8259716,aggression,88,4
31449,-16.30641747,-39.30449295,aggressively,81,3
391,-22.77013779,6.920805454,aging,0,0
507,5.54848671,-4.417216301,aging,1,0
1571,4.312654972,24.42500496,aging,3,0
4267,5.564261436,-4.482895851,aging,9,0
5311,5.450165749,-4.33837986,aging,10,0
5874,5.713647366,-4.830149174,aging,12,0
7092,5.53158617,-4.50610733,aging,14,0
19116,-22.8003273,6.919761181,aging,52,2
20406,-22.81119728,6.907672882,aging,56,2
21180,-22.80098343,6.989498138,aging,57,2
29706,-22.85890388,6.839871407,aging,78,3
30879,-54.49599075,2.45463109,aging,80,3
31197,-22.90766716,6.731796265,aging,81,3
32058,5.706933022,-4.486591816,aging,82,3
32736,-23.08239365,5.998504639,aging,86,4
6917,6.953836918,-41.68239594,agitated,14,0
35462,-17.18759346,7.675739765,agnes,99,4
37053,-11.32589626,-28.50795937,agnes,104,4
37354,-11.32614517,-28.50809669,agnes,105,4
12521,-17.5011673,13.98549747,aided,32,1
14254,-8.28954792,-26.23554611,aims,39,1
33311,2.087776184,-15.92044449,airplane,89,4
33702,-13.51549816,-27.4317379,airplane,92,4
33740,-22.39222145,-28.55817986,airplanes,92,4
27203,9.122736931,43.62870407,alarm,71,3
30055,9.070240974,43.70662689,alarm,78,3
21502,-18.85709381,-27.074646,alarmed,58,3
27528,-34.90347672,-27.88934898,alarmed,72,3
21724,-2.640046597,-48.2757988,albeit,59,3
22646,-12.01824665,-16.60642433,albeit,60,3
